COD_CIDADE,COD_ESTADO,DES_CIDADE
1,MG,Cidade MG01
2,MG,Cidade MG02
3,MG,Cidade MG03
4,MG,Cidade MG04
5,MG,Cidade MG05
6,MG,Cidade MG06
7,MG,Cidade MG07
8,MG,Cidade MG08
9,MG,Cidade MG09
10,MG,Cidade MG10
11,MG,Cidade MG11
12,MG,Cidade MG12
13,MG,Cidade MG13
14,MG,Cidade MG14
15,MG,Cidade MG15
16,MG,Cidade MG16
17,MG,Cidade MG17
18,MG,Cidade MG18
1,GO,Cidade GO01
2,GO,Cidade GO02
3,GO,Cidade GO03
4,GO,Cidade GO04
5,GO,Cidade GO05
6,GO,Cidade GO06
7,GO,Cidade GO07
8,GO,Cidade GO08
9,GO,Cidade GO09
10,GO,Cidade GO10
11,GO,Cidade GO11
12,GO,Cidade GO12
