COD_CLI,CGC_CPF,RAZ_SOCIAL,NOM_FANTASIA,COD_CIDADE,COD_ESTADO,BLOQUEADO,DAT_CADASTRO,COD_GRPCLI
10000,63903139000165,REDE BOM PRECO LTDA 0000,REDE BOM,9,MG,0,2017-06-08 07:14:10,30
10001,10491472000148,DROGA AURORA ME 0001,DROGA AURORA,11,GO,0,2024-01-13 10:47:04,40
10002,25066074000151,DROGA BOM PRECO LTDA 0002,DROGA BOM,5,MG,0,2022-07-12 10:22:12,40
10003,95436520000158,FARMA SAO PEDRO LTDA 0003,FARMA SAO,11,MG,0,2024-02-02 04:05:39,40
10004,54829355000117,DROGA ESPERANCA LTDA 0004,DROGA ESPERANCA,6,GO,1,2019-11-12 22:30:28,40
10005,22267797000120,REDE POPULAR LTDA 0005,REDE POPULAR,8,MG,0,2018-05-11 02:36:20,40
10006,93296265000160,DROGARIA PLANALTO ME 0006,DROGARIA PLANALTO,16,MG,1,2018-04-16 19:54:53,30
10007,88281543000175,COMERCIAL HORIZONTE ME 0007,COMERCIAL HORIZONTE,5,MG,1,2016-05-22 21:24:00,50
10008,11088171000130,REDE REAL ME 0008,REDE REAL,5,GO,0,2014-08-21 22:29:00,30
10009,90122106000150,COMERCIAL UNIAO EIRELI 0009,COMERCIAL UNIAO,18,MG,0,2020-07-23 12:01:04,50
10010,81415903000135,COMERCIAL IDEAL COMERCIO LTDA 0010,COMERCIAL IDEAL,13,MG,0,2014-11-15 17:10:11,40
10011,26817174000135,FARMA VIDA ME 0011,FARMA VIDA,17,MG,0,2020-07-23 00:35:47,50
10012,02827423000105,DROGARIA PRIME LTDA 0012,DROGARIA PRIME,4,GO,0,2024-09-23 00:25:41,40
10013,62452229000114,FARMACIA ESPERANCA LTDA 0013,FARMACIA ESPERANCA,18,MG,0,2020-12-08 02:43:46,40
10014,39951125000132,COMERCIAL CENTRAL ME 0014,COMERCIAL CENTRAL,2,GO,0,2023-07-09 07:38:57,40
10015,78395787000125,DROGARIA PRIME LTDA 0015,DROGARIA PRIME,3,MG,0,2016-05-31 12:23:02,40
10016,19581081000199,FARMACIA SANTA CLARA COMERCIO LTDA 0016,FARMACIA SANTA,17,MG,0,2024-10-11 06:46:28,40
10017,86771853000142,REDE SAUDE COMERCIO LTDA 0017,REDE SAUDE,4,GO,0,2015-03-13 13:54:17,40
10018,56233537000156,FARMA REAL ME 0018,FARMA REAL,4,GO,0,2020-09-27 10:24:24,20
10019,39846285000111,DROGARIA REAL EIRELI 0019,DROGARIA REAL,4,MG,0,2018-07-02 18:29:13,40
10020,26067505000167,FARMA ESTRELA LTDA 0020,FARMA ESTRELA,7,GO,0,2020-12-17 22:03:16,50
10021,97500561000191,DROGARIA MODELO EIRELI 0021,DROGARIA MODELO,4,MG,0,2025-10-18 22:21:10,40
10022,51981717000100,FARMACIA UNIAO ME 0022,FARMACIA UNIAO,4,MG,0,2016-08-17 12:25:29,40
10023,77353319000125,FARMA SAUDE COMERCIO LTDA 0023,FARMA SAUDE,9,GO,0,2015-08-17 19:36:38,50
10024,81369078000180,DROGA ESTRELA ME 0024,DROGA ESTRELA,3,GO,0,2016-05-06 08:39:31,50
10025,17842943000164,FARMA PLANALTO LTDA 0025,FARMA PLANALTO,3,MG,0,2025-12-24 13:04:05,40
10026,30169061000148,COMERCIAL PLANALTO LTDA 0026,COMERCIAL PLANALTO,2,MG,0,2019-11-17 16:25:40,50
10027,22690001000148,FARMACIA BOM PRECO COMERCIO LTDA 0027,FARMACIA BOM,3,MG,0,2022-05-15 19:24:01,40
10028,98688404000114,FARMA UNIAO COMERCIO LTDA 0028,FARMA UNIAO,16,MG,0,2015-03-12 23:14:12,40
10029,70207597000125,FARMACIA MODELO LTDA 0029,FARMACIA MODELO,2,MG,0,2016-12-28 19:31:11,20
10030,13954572000151,DROGA ESTRELA EIRELI 0030,DROGA ESTRELA,13,MG,0,2021-11-27 08:54:27,20
10031,61145649000195,COMERCIAL PLANALTO COMERCIO LTDA 0031,COMERCIAL PLANALTO,14,MG,0,2022-03-16 06:10:47,40
10032,61482956000161,FARMACIA NOVA ERA ME 0032,FARMACIA NOVA,5,MG,0,2020-04-04 09:37:07,40
10033,75663273000115,REDE PLANALTO LTDA 0033,REDE PLANALTO,2,MG,0,2018-05-17 14:09:11,40
10034,97527235000178,DROGARIA CENTRAL COMERCIO LTDA 0034,DROGARIA CENTRAL,11,MG,0,2021-02-27 03:04:42,50
10035,47307904000128,REDE BOM PRECO LTDA 0035,REDE BOM,17,MG,0,2024-08-12 13:34:01,30
10036,94743761000187,DROGARIA BOM PRECO LTDA 0036,DROGARIA BOM,9,GO,0,2024-06-29 12:02:30,30
10037,24899952000157,COMERCIAL ESPERANCA COMERCIO LTDA 0037,COMERCIAL ESPERANCA,3,MG,,2023-01-12 11:12:05,40
10038,49131299000102,REDE ESPERANCA LTDA 0038,REDE ESPERANCA,2,GO,0,2024-08-20 00:59:22,40
10039,38656467000167,FARMA AURORA EIRELI 0039,FARMA AURORA,3,MG,0,2015-02-09 06:27:10,10
10040,73549351000120,FARMACIA PRIME ME 0040,FARMACIA PRIME,9,MG,0,2023-09-21 12:45:08,40
10041,60331206000126,FARMA SAUDE EIRELI 0041,FARMA SAUDE,9,MG,0,2024-10-08 15:05:43,50
10042,68684976000164,DROGA POPULAR LTDA 0042,DROGA POPULAR,15,MG,1,2025-09-11 12:37:11,40
10043,49649191000106,REDE VIDA LTDA 0043,REDE VIDA,8,GO,0,2025-05-28 19:25:16,40
10044,78984392000168,FARMACIA AURORA EIRELI 0044,FARMACIA AURORA,9,GO,0,2018-01-11 12:11:46,
10045,19031967000169,DROGA POPULAR ME 0045,DROGA POPULAR,3,GO,0,2019-07-05 05:43:16,40
10046,32840952000100,DROGA BOM PRECO COMERCIO LTDA 0046,DROGA BOM,6,GO,0,2023-02-16 21:47:15,
10047,49275431000150,COMERCIAL NOVA ERA LTDA 0047,COMERCIAL NOVA,18,MG,0,2022-09-11 12:34:50,40
10048,97451151000106,REDE NOVA ERA LTDA 0048,REDE NOVA,11,GO,0,2017-11-13 12:48:21,40
10049,03325034000144,DROGA VIDA LTDA 0049,DROGA VIDA,3,GO,0,2026-07-15 02:28:20,20
10050,42538935000176,REDE SAUDE EIRELI 0050,REDE SAUDE,12,GO,0,2026-05-01 06:49:44,40
10051,12052757000108,REDE UNIAO EIRELI 0051,REDE UNIAO,5,GO,0,2016-09-12 03:43:50,30
10052,25314639000172,COMERCIAL SANTA CLARA COMERCIO LTDA 0052,COMERCIAL SANTA,7,MG,0,2017-10-10 18:54:07,50
10053,09425730000109,DROGARIA POPULAR COMERCIO LTDA 0053,DROGARIA POPULAR,9,MG,0,2015-03-10 05:54:20,10
10054,41021481000107,DROGARIA SAO PEDRO EIRELI 0054,DROGARIA SAO,9,MG,0,2015-03-09 11:46:20,30
10055,35294863000101,COMERCIAL SANTA CLARA ME 0055,COMERCIAL SANTA,5,MG,0,2014-08-03 12:42:49,40
10056,10900918000140,REDE REAL LTDA 0056,REDE REAL,15,MG,0,2017-04-23 14:29:10,20
10057,15641879000128,DROGARIA SAUDE LTDA 0057,DROGARIA SAUDE,4,MG,0,2014-12-13 11:51:20,40
10058,85716225000100,REDE PLANALTO ME 0058,REDE PLANALTO,12,MG,0,2024-10-31 17:37:09,30
10059,28737831000160,FARMACIA CENTRAL EIRELI 0059,FARMACIA CENTRAL,14,MG,0,2019-07-16 16:51:01,
10060,09905955000162,DROGARIA IDEAL ME 0060,DROGARIA IDEAL,12,MG,0,2025-03-31 02:54:44,40
10061,22369810000152,COMERCIAL VIDA EIRELI 0061,COMERCIAL VIDA,8,MG,0,2023-03-24 01:12:44,30
10062,57752779000119,FARMA SAUDE ME 0062,FARMA SAUDE,18,MG,0,2020-11-14 09:30:28,40
10063,07863164000191,FARMACIA REAL LTDA 0063,FARMACIA REAL,6,MG,,2019-09-15 09:47:27,40
