COD_CLIENT,COD_ESTABE,COD_VENDEDOR
10000,1,1009
10001,2,1031
10002,1,1010
10003,1,1002
10004,2,1036
10005,1,1011
10006,1,1002
10007,1,1019
10008,2,1028
10009,1,1017
10010,1,1011
10011,1,1012
10012,2,1030
10013,1,1020
10014,2,1032
10015,1,1005
10016,1,1006
10017,2,1039
10018,2,1030
10019,1,1007
10020,2,1031
10021,1,1009
10022,1,1006
10023,2,1031
10024,2,1030
10025,1,1007
10026,1,1021
10027,1,1012
10028,1,1004
10029,1,1003
10029,2,1026
10030,1,1002
10031,1,1017
10032,1,1021
10033,1,1000
10034,1,1019
10035,1,1001
10036,2,1039
10037,1,1012
10038,2,1034
10039,1,1017
10040,1,1020
10041,1,1009
10042,1,1017
10043,2,1028
10044,2,1040
10045,2,1032
10046,2,1036
10047,1,1007
10048,2,1043
10049,2,1027
10050,2,1023
10051,2,1040
10052,1,1015
10053,1,1017
10054,1,1019
10055,1,1001
10056,1,1018
10057,1,1012
10058,1,1014
10059,1,1005
10059,2,1038
10060,1,1003
10060,2,1040
10061,1,1016
10062,1,1011
10063,1,1000
10064,2,1022
10065,2,1030
10066,2,1036
10067,1,1020
10068,1,1003
10069,1,1011
10070,1,1012
10071,1,1021
10072,1,1009
10073,2,1028
10074,1,1019
10075,2,1032
10076,2,1031
10077,1,1009
10078,1,1017
10079,1,1021
10080,1,1011
10081,1,1012
10082,2,1028
10082,1,1017
10083,1,1015
10084,2,1030
10085,1,1015
10086,1,1012
10087,1,1012
10088,1,1014
10089,2,1032
10090,2,1038
10091,2,1028
10092,1,1020
10093,1,1004
10094,1,1020
10095,1,1007
10096,1,1003
10097,1,1009
10097,2,1031
10098,1,1019
10098,2,1037
10099,1,1014
10100,2,1030
10101,1,1004
10103,1,1004
10104,1,1017
10105,2,1022
10106,2,1028
10107,1,1015
10108,2,1039
10109,2,1027
10110,2,1040
10111,2,1041
10112,1,1011
10113,1,1017
10114,1,1010
10115,1,1009
10116,1,1019
10117,1,1020
10118,2,1023
10119,1,1014
10120,2,1026
10121,1,1005
10122,1,1001
10123,1,1006
10124,1,1009
10125,2,1039
10126,1,1003
10127,2,1038
10128,2,1034
10129,1,1009
10129,2,1035
10130,1,1012
10131,2,1041
10132,1,1019
10133,1,1009
10134,1,1012
10135,1,1000
10136,1,1015
10137,2,1026
10138,1,1012
10139,2,1030
10140,1,1020
10141,1,1020
10142,1,1019
10143,1,1005
10144,2,1033
10145,1,1012
10146,1,1011
10147,2,1040
10148,2,1039
10149,1,1016
10150,2,1024
10151,1,1014
10152,1,1021
10153,1,1010
10154,1,1016
10155,1,1004
10156,1,1005
10156,2,1034
10157,1,1015
10158,1,1021
10159,1,1020
10160,1,1014
10161,2,1024
10162,1,1002
10163,1,1005
10164,2,1034
10165,1,1007
10166,1,1011
10167,2,1034
10168,2,1033
10169,2,1032
10170,1,1021
10171,1,1014
10172,1,1009
10173,1,1016
10174,1,1012
10175,1,1020
10177,1,1018
10177,2,1038
10178,2,1037
10179,2,1028
10180,1,1005
10181,1,1000
10182,2,1027
10182,1,1007
10183,2,1032
10185,1,1002
10186,2,1030
10187,1,1005
10188,2,1036
10189,1,1003
10190,1,1003
10191,1,1002
10192,1,1017
10193,2,1041
10194,1,1001
10195,2,1022
10196,1,1014
10197,1,1018
10198,1,1002
10199,1,1003
10200,1,1009
10201,1,1021
10202,1,1004
10203,1,1002
10204,1,1014
10204,2,1033
10205,2,1031
10206,1,1007
10207,2,1033
10208,1,1016
10209,1,1004
10210,1,1004
10211,2,1040
10212,2,1028
10213,1,1000
10214,1,1001
10216,1,1012
10217,1,1011
10218,1,1017
10219,2,1038
10220,2,1041
10221,1,1009
10222,1,1019
10223,1,1016
10224,2,1027
10225,1,1019
10226,1,1005
10227,1,1020
10228,1,1021
10229,1,1016
10229,2,1043
10230,2,1037
10230,1,1018
10231,1,1019
10232,1,1010
10232,2,1035
10233,1,1017
10234,1,1019
10235,1,1007
10236,1,1002
10237,1,1016
10238,1,1010
10239,2,1035
10240,1,1015
10241,1,1009
10242,1,1004
10243,1,1010
10244,1,1000
10245,2,1022
10245,1,1018
10246,1,1004
10247,1,1012
10249,2,1033
10250,1,1017
10251,1,1019
10252,2,1022
10253,1,1017
10254,2,1039
10255,1,1010
10256,2,1022
10257,2,1037
10258,1,1010
10259,2,1031
10261,2,1022
10262,1,1019
10263,1,1012
10264,1,1006
10265,2,1037
10266,1,1019
10268,1,1015
10269,1,1014
10270,1,1007
10271,1,1005
10272,1,1014
10273,1,1014
10274,1,1007
10275,1,1009
10276,1,1002
10276,2,1037
10277,2,1031
10278,1,1018
10279,1,1021
10280,1,1009
10281,1,1010
10282,1,1019
10283,2,1032
10284,1,1015
10284,2,1030
10285,1,1002
10286,2,1028
10287,2,1027
10288,1,1010
10289,2,1026
10290,2,1038
10291,1,1021
10292,2,1038
10293,2,1032
10294,2,1039
10296,1,1006
10297,2,1034
10298,2,1022
10299,1,1004
10300,1,1001
10302,1,1019
10303,1,1000
10304,2,1028
10305,1,1003
10306,2,1033
10307,1,1009
10308,1,1004
10309,1,1016
10310,2,1022
10311,1,1007
10312,1,1002
10313,1,1004
10314,1,1000
10315,2,1039
10316,1,1006
10317,2,1034
10318,2,1037
10318,1,1010
10319,1,1017
10320,1,1012
10321,2,1038
10322,2,1023
10323,1,1011
10324,2,1024
10325,2,1027
10326,1,1001
10327,1,1009
10328,1,1014
10329,1,1002
10330,1,1019
10331,1,1017
10332,1,1005
10333,1,1006
10334,1,1009
10335,2,1036
10336,1,1000
10337,1,1003
10337,2,1031
10338,2,1036
10339,2,1038
10340,1,1007
10341,1,1001
10342,1,1006
10343,2,1038
10344,2,1026
10345,1,1018
10347,1,1006
10348,2,1039
10349,2,1036
10350,1,1010
10351,2,1034
10352,2,1028
10353,1,1001
10354,1,1019
10355,1,1018
10356,2,1026
10357,2,1032
10358,1,1017
10359,2,1033
10360,1,1006
10361,1,1012
10362,1,1001
10363,1,1006
10365,1,1003
10366,1,1007
10367,1,1015
10368,2,1034
10369,1,1000
10370,2,1028
10371,1,1009
10372,1,1020
10373,2,1026
10374,1,1014
10375,2,1031
10376,2,1022
10377,2,1023
10378,1,1020
10379,1,1017
10380,2,1027
10382,2,1035
10383,2,1024
10384,1,1007
10385,1,1005
10386,1,1017
10388,1,1002
10389,1,1021
10390,1,1011
10391,1,1001
10392,1,1001
10393,1,1012
10394,1,1004
10395,1,1019
10396,1,1003
10397,1,1004
10398,1,1017
10399,1,1007
10400,1,1011
10401,1,1019
10401,2,1035
10402,2,1038
10403,2,1030
10404,1,1000
10405,2,1036
10405,1,1012
10406,1,1004
10407,2,1032
10408,1,1001
10409,2,1039
10410,1,1016
10411,2,1041
10412,2,1033
10413,1,1019
10414,1,1017
10415,1,1006
10416,2,1043
10417,1,1005
10418,1,1019
10419,1,1012
10420,1,1011
10421,2,1038
10422,1,1009
10423,1,1021
10423,2,1041
10424,1,1005
10425,1,1002
10426,1,1018
10427,2,1027
10428,1,1016
10429,2,1033
10430,1,1009
10431,1,1019
10432,1,1012
10433,1,1016
10434,1,1000
10435,1,1018
10436,1,1014
10437,1,1005
10438,1,1000
10439,1,1021
10439,2,1035
10440,1,1021
10441,2,1031
10442,2,1034
10443,2,1024
10444,2,1041
10445,1,1014
10446,1,1006
10447,1,1018
10447,2,1039
10448,1,1019
10449,1,1004
10450,2,1033
10451,2,1034
10452,2,1037
10453,1,1011
10454,1,1003
10455,1,1003
10456,1,1018
10457,1,1002
10458,1,1001
10459,1,1004
10460,1,1005
10461,1,1001
10462,1,1006
10464,2,1026
10466,1,1017
10467,1,1006
10468,2,1026
10469,2,1023
10470,2,1043
10471,1,1014
10472,2,1039
10473,1,1018
10474,1,1021
10475,1,1020
10476,1,1009
10477,2,1023
10478,1,1012
10479,2,1031
10480,1,1021
10481,1,1002
10482,1,1000
10483,1,1006
10484,1,1017
10485,1,1002
10486,2,1038
10487,2,1023
10488,1,1012
10489,2,1041
10490,2,1037
10491,2,1035
10492,2,1023
10493,1,1021
10494,1,1009
10495,1,1018
10496,1,1001
10497,2,1024
10497,1,1010
10498,2,1024
10500,2,1030
10501,1,1018
10502,2,1026
10503,2,1026
10504,1,1007
10505,1,1019
10506,2,1036
10507,1,1006
10508,1,1006
10509,1,1018
10511,2,1031
10512,2,1043
10513,1,1005
10514,2,1041
10515,2,1041
10516,1,1015
10517,1,1003
10518,2,1043
10519,1,1012
10520,1,1016
10522,2,1037
10523,1,1003
10524,2,1028
10525,1,1005
10526,2,1041
10527,1,1014
10528,1,1018
10529,2,1034
10530,1,1005
10531,1,1019
10532,2,1038
10533,1,1012
10534,1,1011
10535,2,1041
10536,2,1034
10537,1,1012
10538,2,1037
10539,1,1015
10540,1,1011
10541,1,1021
10542,1,1007
10542,2,1043
10543,2,1041
10544,1,1006
10544,2,1036
10545,2,1041
10546,1,1009
10548,2,1035
10549,1,1016
10550,1,1016
10551,1,1014
10552,2,1022
10553,1,1001
10554,1,1010
10555,1,1021
10556,1,1000
10557,1,1018
10558,1,1004
10559,1,1010
10560,1,1000
10561,1,1010
10562,1,1007
10563,1,1006
10564,1,1011
10565,2,1022
10566,2,1032
10567,1,1019
10568,2,1040
10569,1,1019
10570,1,1020
10571,2,1043
10572,2,1027
10573,2,1026
10574,2,1023
10575,1,1016
10576,1,1012
10577,1,1004
10578,1,1004
10579,1,1009
10580,1,1012
10581,1,1020
10582,1,1007
10583,2,1031
10584,1,1009
10585,2,1033
10586,1,1002
10587,2,1043
10588,2,1036
10589,1,1020
10590,1,1006
10591,2,1024
10592,1,1011
10593,1,1017
10594,2,1028
10595,2,1039
10596,1,1020
10597,1,1003
10598,2,1033
10599,2,1023
10600,1,1020
10601,2,1036
10603,1,1002
10604,2,1023
10605,1,1011
10606,2,1035
10607,1,1015
10608,1,1015
10609,1,1003
10610,2,1031
10611,1,1021
10612,1,1000
10613,1,1014
10614,1,1001
10615,1,1010
10616,2,1040
10617,2,1023
10618,1,1011
10618,2,1041
10619,1,1020
10620,1,1004
10621,1,1011
10622,1,1018
10622,2,1031
10623,1,1004
10624,1,1001
10625,1,1014
10626,1,1016
10627,1,1021
10628,1,1020
10629,2,1040
10629,1,1002
10630,1,1007
10631,2,1037
10631,1,1010
10633,1,1014
10634,1,1004
10635,1,1004
10637,1,1011
10638,1,1002
10639,1,1017
10640,1,1020
10641,1,1001
10641,2,1041
10642,2,1036
10643,2,1032
10644,1,1002
10645,1,1014
10646,1,1018
10648,1,1015
10649,2,1027
10650,2,1027
10651,1,1017
10652,1,1019
10653,1,1006
10654,1,1017
10655,1,1014
10655,2,1043
10656,1,1006
10658,2,1041
10659,1,1021
10660,1,1018
10661,2,1031
10662,1,1007
10664,2,1024
10665,1,1009
10666,2,1037
10667,1,1011
10668,2,1043
10669,2,1024
10670,2,1026
10671,1,1015
10672,1,1015
10673,2,1035
10674,2,1035
10676,2,1030
10677,1,1011
10679,2,1035
10680,1,1021
10681,2,1022
10682,1,1010
10683,1,1005
10684,2,1035
10685,2,1038
10687,2,1027
10688,1,1016
10689,1,1001
10690,1,1007
10691,2,1030
10692,1,1012
10692,2,1027
10693,1,1002
10694,1,1003
10695,1,1001
10696,1,1007
10697,1,1021
10698,2,1027
10698,1,1010
10699,2,1022
10700,2,1034
10701,1,1003
10702,1,1010
10703,1,1016
10704,2,1039
10705,2,1022
10706,1,1011
10707,1,1006
10708,1,1019
10709,1,1006
10710,1,1006
10711,1,1019
10712,2,1040
10713,2,1032
10714,1,1019
10715,2,1039
10716,2,1027
10717,2,1022
10718,1,1014
10719,1,1020
10720,1,1018
10722,2,1023
10723,1,1009
10725,1,1005
10726,2,1023
10727,2,1033
10728,1,1006
10730,2,1032
10731,1,1001
10733,2,1038
10734,1,1000
10735,1,1002
10736,1,1014
10737,2,1032
10738,1,1012
10740,2,1026
10741,2,1022
10742,1,1010
10743,2,1036
10745,1,1007
10746,2,1036
10747,1,1018
10748,1,1003
10749,2,1034
10751,2,1039
10752,2,1041
10753,1,1002
10754,2,1028
10755,1,1006
10756,1,1018
10757,1,1016
10758,2,1041
10758,1,1000
10759,1,1001
10760,2,1031
10761,2,1040
10762,2,1033
10763,1,1011
10764,1,1017
10765,2,1036
10766,1,1005
10767,1,1000
10768,2,1035
10769,1,1012
10770,1,1012
10771,1,1010
10772,1,1007
10773,1,1018
10774,1,1009
10775,1,1001
10776,1,1009
10777,1,1014
10778,1,1000
10779,2,1041
10780,1,1009
10781,1,1007
10781,2,1027
10782,1,1011
10783,2,1036
10784,2,1027
10785,2,1024
10786,2,1036
10787,1,1018
10788,1,1021
10789,1,1007
10790,1,1015
10791,1,1007
10792,1,1020
10793,2,1027
10795,1,1015
10796,2,1033
10797,2,1034
10798,1,1016
10799,2,1041
10800,2,1027
10801,1,1006
10803,1,1004
10804,2,1043
10805,1,1019
10806,1,1006
10807,1,1004
10808,1,1010
10809,2,1040
10811,1,1004
10812,2,1037
10813,1,1004
10814,2,1043
10815,1,1005
10817,1,1011
10818,2,1024
10819,1,1019
10820,1,1019
10821,1,1003
10822,1,1005
10823,2,1034
10824,2,1027
10825,1,1000
10826,1,1011
10827,2,1037
10828,1,1015
10829,1,1010
10830,1,1016
10831,2,1032
10832,1,1004
10833,1,1006
10833,2,1026
10834,1,1004
10835,2,1028
10836,2,1022
10837,2,1032
10838,2,1043
10839,2,1031
10840,1,1021
10841,1,1007
10842,2,1031
10843,2,1022
10844,1,1012
10845,1,1002
10846,1,1017
10847,1,1004
10848,1,1018
10849,1,1021
10850,1,1017
10851,1,1012
10851,2,1028
10852,1,1014
10853,1,1017
10854,1,1017
10855,2,1027
10856,1,1005
10857,2,1030
10858,1,1007
10859,1,1001
10860,1,1015
10861,1,1000
10862,1,1009
10863,1,1015
10864,2,1031
10865,1,1006
10866,2,1030
10867,1,1002
10868,2,1028
10869,1,1016
10870,1,1021
10871,1,1017
10872,2,1034
10873,1,1016
10874,1,1007
10875,1,1015
10876,1,1014
10877,2,1023
10879,1,1021
10880,2,1036
10881,2,1034
10882,2,1036
10883,1,1021
10884,1,1020
10885,2,1041
10886,1,1018
10887,2,1023
10887,1,1018
10888,1,1003
10889,2,1038
10890,1,1016
10890,2,1023
10891,2,1031
10892,1,1018
10893,1,1019
10894,2,1036
10895,2,1023
10896,2,1041
10897,1,1014
10898,1,1018
10899,1,1001
10900,1,1006
10902,2,1033
10903,2,1038
10904,2,1036
10905,1,1010
10905,2,1033
10906,2,1038
10907,1,1005
10908,1,1015
10909,2,1033
10909,1,1021
10910,2,1023
10911,2,1040
10912,1,1004
10913,2,1038
10914,1,1016
10915,1,1002
10916,1,1018
10917,1,1003
10918,1,1005
10919,1,1020
10920,2,1041
10921,1,1004
10922,1,1014
10923,1,1015
10924,1,1011
10925,1,1016
10926,2,1022
10927,1,1005
10928,2,1038
10929,2,1043
10930,1,1006
10931,1,1016
10932,2,1024
10933,2,1032
10934,1,1011
10935,2,1028
10936,2,1026
10936,1,1002
10937,2,1026
10938,2,1038
10939,1,1012
10940,2,1024
10941,1,1018
10942,2,1036
10943,2,1040
10944,1,1021
10945,2,1028
10946,1,1014
10947,1,1019
10948,2,1036
10950,1,1001
10951,1,1005
10951,2,1034
10952,1,1020
10953,2,1027
10954,1,1005
10955,2,1027
10956,2,1028
10957,1,1001
10958,1,1015
10959,2,1033
10960,1,1010
10961,2,1038
10962,2,1033
10963,2,1028
10964,1,1003
10965,1,1004
10966,2,1030
10966,1,1000
10967,2,1032
10968,2,1022
10969,1,1016
10970,1,1017
10971,1,1017
10972,1,1019
10973,2,1022
10974,2,1039
10975,1,1007
10976,1,1006
10976,2,1043
10977,1,1017
10978,2,1038
10979,2,1037
10980,1,1016
10981,2,1024
10982,2,1022
10983,1,1007
10984,1,1019
10985,1,1009
10986,1,1021
10987,2,1041
10988,2,1030
10989,2,1023
10990,1,1005
10991,1,1004
10992,2,1023
10993,2,1035
10994,2,1023
10995,2,1027
10996,2,1023
10997,1,1020
10998,2,1033
10999,1,1011
11000,1,1002
11001,2,1023
11002,1,1003
11003,2,1037
11004,2,1028
11005,1,1005
11006,1,1010
11007,1,1021
11008,1,1021
11009,2,1043
11010,1,1019
11011,1,1005
11012,1,1016
11013,1,1020
11014,1,1012
11015,2,1023
11016,2,1024
11016,1,1010
11017,1,1011
11017,2,1035
11018,2,1036
11019,2,1024
11021,1,1015
11022,2,1041
11023,1,1002
11024,1,1010
11025,1,1017
11026,2,1027
11027,2,1026
11029,1,1009
11030,2,1034
11031,2,1040
11032,2,1037
11033,1,1018
11034,2,1030
11035,2,1030
11036,2,1023
11037,2,1026
11038,2,1043
11039,2,1040
11040,2,1024
11041,2,1039
11042,2,1033
11043,2,1037
11044,1,1021
11045,1,1011
11046,2,1032
11047,1,1018
11048,2,1043
11049,1,1021
11050,2,1035
11051,1,1004
11052,2,1043
11053,2,1039
11054,1,1018
11055,1,1017
11056,1,1017
11057,1,1005
11058,1,1021
11059,1,1007
11060,2,1033
11060,1,1006
11061,2,1022
11062,1,1003
11063,1,1000
11064,2,1038
11065,1,1003
11066,1,1006
11067,1,1021
11068,1,1015
11069,2,1037
11070,2,1023
11071,1,1011
11072,1,1012
11073,1,1019
11074,2,1030
11075,2,1022
11076,1,1006
11077,2,1033
11078,2,1032
11079,2,1024
11080,1,1010
11081,1,1010
11082,1,1018
11083,2,1041
11084,1,1011
11085,2,1022
11086,2,1026
11087,1,1011
11088,1,1011
11089,1,1014
11090,2,1043
11091,1,1021
11091,2,1022
11092,2,1028
11093,1,1006
11094,2,1034
11095,2,1034
11096,1,1017
11097,1,1017
11098,2,1023
11099,1,1004
11100,1,1017
11101,1,1004
11102,1,1016
11103,2,1041
11104,1,1011
11105,1,1016
11106,1,1015
11107,2,1023
11108,2,1040
11109,2,1033
11110,1,1020
11110,2,1034
11111,1,1019
11112,1,1019
11113,1,1000
11114,1,1006
11115,1,1020
11116,1,1011
11117,1,1012
11118,2,1024
11119,2,1027
11120,1,1009
11121,1,1000
11122,2,1034
11123,1,1014
11124,1,1019
11125,1,1005
11125,2,1043
11126,1,1021
11127,1,1014
11128,1,1005
11129,1,1021
11130,1,1003
11131,1,1010
11132,2,1034
11133,2,1023
11134,1,1009
11135,2,1037
11135,1,1002
11136,2,1039
11138,2,1031
11140,1,1012
11141,1,1016
11142,2,1033
11143,1,1006
11144,1,1018
11145,1,1010
11146,1,1005
11147,2,1026
11148,2,1035
11149,1,1001
11150,1,1006
11152,1,1002
11153,2,1038
11154,1,1018
11155,1,1000
11156,1,1017
11157,2,1040
11158,1,1004
11159,1,1006
11159,2,1034
11160,2,1039
11161,2,1040
11164,1,1010
11164,2,1034
11165,2,1027
11166,2,1026
11167,2,1040
11168,1,1004
11169,1,1006
11170,1,1001
11171,2,1038
11172,2,1036
11173,1,1018
11174,2,1026
11175,1,1000
11176,2,1033
11177,1,1001
11178,2,1024
11179,1,1011
11180,1,1016
11181,1,1001
11182,1,1003
11183,1,1018
11184,1,1010
11185,2,1022
11186,2,1043
11187,2,1033
11188,1,1006
11189,1,1011
11190,1,1006
11191,1,1006
11192,1,1010
11193,1,1009
11194,1,1019
11195,2,1034
11196,1,1016
11197,2,1026
11198,1,1009
11199,1,1004
